City,Country,AccentCity,Region, Population ,Latitude,Longitude
shanghai,cn,Shanghai,23," 14,608,512 ",31.045556,121.399722
sao paulo,br,S„o Paulo,27," 10,021,437 ",-23.473293,-46.665803
kinshasa,cd,Kinshasa,6," 7,787,832 ",-4.3,15.3
cairo,eg,Cairo,11," 7,734,602 ",30.05,31.25
peking,cn,Peking,22," 7,480,601 ",39.928889,116.388333
london,gb,London,H9," 7,421,228 ",51.514125,-0.093689
bogota,co,Bogot·,34," 7,102,602 ",4.649178,-74.062827
dhaka,bd,Dhaka,81," 6,493,177 ",23.7230556,90.4086111
rio de janeiro,br,Rio de Janeiro,21," 6,023,742 ",-22.9,-43.233333
santiago,cl,Santiago,12," 4,837,248 ",-33.45,-70.666667
toronto,ca,Toronto,8," 4,612,187 ",43.666667,-79.416667
sydney,au,Sydney,2," 4,394,585 ",-33.861481,151.205475
wuhan,cn,Wuhan,12," 4,184,206 ",30.580125,114.273405
chongqing,cn,Chongqing,33," 3,967,028 ",29.562778,106.552778
xian,cn,Xian,26," 3,953,191 ",34.258333,108.928611
chengdu,cn,Chengdu,32," 3,950,437 ",30.666667,104.066667
alexandria,eg,Alexandria,6," 3,811,512 ",31.1980556,29.9191667
tianjin,cn,Tianjin,28," 3,766,207 ",39.142222,117.176667
melbourne,au,Melbourne,7," 3,730,212 ",-37.813938,144.963425
abidjan,ci,Abidjan,82," 3,692,570 ",5.309657,-4.012656
shenyang,cn,Shenyang,19," 3,512,192 ",41.792222,123.432778
berlin,de,Berlin,16," 3,398,362 ",52.516667,13.4
montreal,ca,Montreal,10," 3,268,513 ",45.5,-73.583333
harbin,cn,Harbin,8," 3,229,883 ",45.75,126.65
guangzhou,cn,Guangzhou,30," 3,152,825 ",23.116667,113.25
madrid,es,Madrid,29," 3,102,644 ",40.408566,-3.69222
nanjing,cn,Nanjing,4," 3,087,010 ",32.061667,118.777778
kabul,af,Kabul,13," 3,043,589 ",34.516667,69.183333
luanda,ao,Luanda,20," 2,776,125 ",-8.836804,13.233174
addis abeba,et,Addis Abeba,44," 2,757,807 ",9.024325,38.749226
taiyuan,cn,Taiyuan,24," 2,722,475 ",37.726944,112.470833
salvador,br,Salvador,5," 2,711,903 ",-12.983333,-38.516667
changchun,cn,Changchun,5," 2,537,421 ",43.88,125.322778
gizeh,eg,Gizeh,8," 2,443,490 ",30.0086111,31.2122222
fortaleza,br,Fortaleza,6," 2,416,920 ",-3.316667,-41.416667
cali,co,Cali,29," 2,392,897 ",3.437222,-76.5225
belo horizonte,br,Belo Horizonte,15," 2,373,255 ",-19.916667,-43.933333
brasilia,br,BrasÌlia,7," 2,207,812 ",-15.783333,-47.916667
santo domingo,do,Santo Domingo,5," 2,202,016 ",18.4666667,-69.9
paris,fr,Paris,A8," 2,110,694 ",48.866667,2.333333
jinan,cn,Jinan,25," 2,069,266 ",36.668333,116.997222
tangshan,cn,Tangshan,10," 2,054,526 ",37.3325,114.701389
dalian,cn,Dalian,19," 2,035,307 ",38.912222,121.602222
medellin,co,MedellÌn,2," 2,000,001 ",6.25184,-75.563591
algiers,dz,Algiers,1," 1,980,242 ",36.7630556,3.0505556
accra,gh,Accra,1," 1,963,460 ",5.55,-0.2166667
guayaquil,ec,Guayaquil,10," 1,952,029 ",-2.1666667,-79.9
jilin,cn,Jilin,5," 1,881,977 ",43.850833,126.560278
hangzhou,cn,Hangzhou,2," 1,878,129 ",30.29365,120.161419
nanchang,cn,Nanchang,3," 1,871,351 ",28.55,115.933333
conakry,gn,Conakry,4," 1,871,185 ",9.5091667,-13.7122222
brisbane,au,Brisbane,4," 1,843,459 ",-27.47101,153.024292
